{7190} -> {12305} | confidence=0.9714, support=102
{7190} -> {92490, 95398} | confidence=0.9238, support=97
{92490} -> {7190, 95398} | confidence=0.9151, support=97
{7190, 92490} -> {95398} | confidence=0.9700, support=97
{7190, 95398} -> {92490} | confidence=0.9510, support=97
{92490, 95398} -> {7190} | confidence=0.9417, support=97
{24746} -> {12305, 51657} | confidence=0.9423, support=98
{51657} -> {12305, 24746} | confidence=0.9159, support=98
{12305, 24746} -> {51657} | confidence=0.9703, support=98
{12305, 51657} -> {24746} | confidence=0.9423, support=98
{24746, 51657} -> {12305} | confidence=0.9703, support=98
{24746} -> {12305, 88631} | confidence=0.9038, support=94
{88631} -> {12305, 24746} | confidence=0.9216, support=94
{12305, 24746} -> {88631} | confidence=0.9307, support=94
{12305, 88631} -> {24746} | confidence=0.9495, support=94
{24746, 88631} -> {12305} | confidence=0.9691, support=94
{24746} -> {12305, 92490} | confidence=0.9327, support=97
{92490} -> {12305, 24746} | confidence=0.9151, support=97
{12305, 24746} -> {92490} | confidence=0.9604, support=97
{12305, 92490} -> {24746} | confidence=0.9327, support=97
{24746, 92490} -> {12305} | confidence=0.9798, support=97
{24746} -> {12305, 95398} | confidence=0.9519, support=99
{95398} -> {12305, 24746} | confidence=0.9083, support=99
{12305, 24746} -> {95398} | confidence=0.9802, support=99
{12305, 95398} -> {24746} | confidence=0.9340, support=99
{24746, 95398} -> {12305} | confidence=0.9706, support=99
{14148, 44776} -> {54782} | confidence=0.9432, support=83
{14148, 54782} -> {44776} | confidence=0.9540, support=83
{44776, 54782} -> {14148} | confidence=0.9222, support=83
{88631} -> {12305, 51657} | confidence=0.9314, support=95
{12305, 51657} -> {88631} | confidence=0.9135, support=95
{12305, 88631} -> {51657} | confidence=0.9596, support=95
{51657, 88631} -> {12305} | confidence=0.9694, support=95
{51657} -> {12305, 92490} | confidence=0.9439, support=101
{92490} -> {12305, 51657} | confidence=0.9528, support=101
{12305, 51657} -> {92490} | confidence=0.9712, support=101
{12305, 92490} -> {51657} | confidence=0.9712, support=101
{51657, 92490} -> {12305} | confidence=0.9806, support=101
{51657} -> {12305, 95398} | confidence=0.9533, support=102
{95398} -> {12305, 51657} | confidence=0.9358, support=102
{12305, 51657} -> {95398} | confidence=0.9808, support=102
{12305, 95398} -> {51657} | confidence=0.9623, support=102
{51657, 95398} -> {12305} | confidence=0.9714, support=102
{88631} -> {12305, 92490} | confidence=0.9314, support=95
{12305, 88631} -> {92490} | confidence=0.9596, support=95
{12305, 92490} -> {88631} | confidence=0.9135, support=95
{88631, 92490} -> {12305} | confidence=0.9794, support=95
{88631} -> {12305, 95398} | confidence=0.9412, support=96
{12305, 88631} -> {95398} | confidence=0.9697, support=96
{12305, 95398} -> {88631} | confidence=0.9057, support=96
{88631, 95398} -> {12305} | confidence=0.9697, support=96
{92490} -> {12305, 95398} | confidence=0.9528, support=101
{95398} -> {12305, 92490} | confidence=0.9266, support=101
{12305, 92490} -> {95398} | confidence=0.9712, support=101
{12305, 95398} -> {92490} | confidence=0.9528, support=101
{92490, 95398} -> {12305} | confidence=0.9806, support=101
{25161, 39749} -> {64408} | confidence=0.9140, support=85
{25161, 64408} -> {39749} | confidence=0.9659, support=85
{24746} -> {51657, 88631} | confidence=0.9038, support=94
{88631} -> {24746, 51657} | confidence=0.9216, support=94
{24746, 51657} -> {88631} | confidence=0.9307, support=94
{24746, 88631} -> {51657} | confidence=0.9691, support=94
{51657, 88631} -> {24746} | confidence=0.9592, support=94
{24746} -> {51657, 92490} | confidence=0.9327, support=97
{51657} -> {24746, 92490} | confidence=0.9065, support=97
{92490} -> {24746, 51657} | confidence=0.9151, support=97
{24746, 51657} -> {92490} | confidence=0.9604, support=97
{24746, 92490} -> {51657} | confidence=0.9798, support=97
{51657, 92490} -> {24746} | confidence=0.9417, support=97
{24746} -> {51657, 95398} | confidence=0.9519, support=99
{51657} -> {24746, 95398} | confidence=0.9252, support=99
{95398} -> {24746, 51657} | confidence=0.9083, support=99
{24746, 51657} -> {95398} | confidence=0.9802, support=99
{24746, 95398} -> {51657} | confidence=0.9706, support=99
{51657, 95398} -> {24746} | confidence=0.9429, support=99
{24037} -> {82125, 98490} | confidence=0.9451, support=86
{24037, 82125} -> {98490} | confidence=0.9773, support=86
{24037, 98490} -> {82125} | confidence=0.9663, support=86
{88631} -> {24746, 92490} | confidence=0.9020, support=92
{24746, 88631} -> {92490} | confidence=0.9485, support=92
{24746, 92490} -> {88631} | confidence=0.9293, support=92
{88631, 92490} -> {24746} | confidence=0.9485, support=92
{24746} -> {88631, 95398} | confidence=0.9135, support=95
{88631} -> {24746, 95398} | confidence=0.9314, support=95
{24746, 88631} -> {95398} | confidence=0.9794, support=95
{24746, 95398} -> {88631} | confidence=0.9314, support=95
{88631, 95398} -> {24746} | confidence=0.9596, support=95
{24746} -> {92490, 95398} | confidence=0.9327, support=97
{92490} -> {24746, 95398} | confidence=0.9151, support=97
{24746, 92490} -> {95398} | confidence=0.9798, support=97
{24746, 95398} -> {92490} | confidence=0.9510, support=97
{92490, 95398} -> {24746} | confidence=0.9417, support=97
{39749, 61432} -> {64408} | confidence=0.9278, support=90
{61432, 64408} -> {39749} | confidence=0.9574, support=90
{61432, 74994} -> {39749} | confidence=0.9551, support=85
{39749, 74994} -> {64408} | confidence=0.9388, support=92
{64408, 74994} -> {39749} | confidence=0.9583, support=92
{88631} -> {51657, 92490} | confidence=0.9216, support=94
{51657, 88631} -> {92490} | confidence=0.9592, support=94
{51657, 92490} -> {88631} | confidence=0.9126, support=94
{88631, 92490} -> {51657} | confidence=0.9691, support=94
{88631} -> {51657, 95398} | confidence=0.9412, support=96
{51657, 88631} -> {95398} | confidence=0.9796, support=96
{51657, 95398} -> {88631} | confidence=0.9143, support=96
{88631, 95398} -> {51657} | confidence=0.9697, support=96
{51657} -> {92490, 95398} | confidence=0.9439, support=101
{92490} -> {51657, 95398} | confidence=0.9528, support=101
{95398} -> {51657, 92490} | confidence=0.9266, support=101
{51657, 92490} -> {95398} | confidence=0.9806, support=101
{51657, 95398} -> {92490} | confidence=0.9619, support=101
{92490, 95398} -> {51657} | confidence=0.9806, support=101
{61432, 74994} -> {64408} | confidence=0.9326, support=83
{88631} -> {92490, 95398} | confidence=0.9216, support=94
{88631, 92490} -> {95398} | confidence=0.9691, support=94
{88631, 95398} -> {92490} | confidence=0.9495, support=94
{92490, 95398} -> {88631} | confidence=0.9126, support=94
{7190, 12305} -> {24746, 51657} | confidence=0.9020, support=92
{7190, 24746} -> {12305, 51657} | confidence=0.9388, support=92
{7190, 51657} -> {12305, 24746} | confidence=0.9109, support=92
{12305, 24746} -> {7190, 51657} | confidence=0.9109, support=92
{24746, 51657} -> {7190, 12305} | confidence=0.9109, support=92
{7190, 24746} -> {12305, 88631} | confidence=0.9184, support=90
{7190, 88631} -> {12305, 24746} | confidence=0.9184, support=90
{12305, 88631} -> {7190, 24746} | confidence=0.9091, support=90
{24746, 88631} -> {7190, 12305} | confidence=0.9278, support=90
{7190, 24746} -> {12305, 92490} | confidence=0.9286, support=91
{7190, 92490} -> {12305, 24746} | confidence=0.9100, support=91
{12305, 24746} -> {7190, 92490} | confidence=0.9010, support=91
{24746, 92490} -> {7190, 12305} | confidence=0.9192, support=91
{7190, 12305} -> {24746, 95398} | confidence=0.9118, support=93
{7190, 24746} -> {12305, 95398} | confidence=0.9490, support=93
{7190, 95398} -> {12305, 24746} | confidence=0.9118, support=93
{12305, 24746} -> {7190, 95398} | confidence=0.9208, support=93
{24746, 95398} -> {7190, 12305} | confidence=0.9118, support=93
{7190, 51657} -> {12305, 88631} | confidence=0.9010, support=91
{7190, 88631} -> {12305, 51657} | confidence=0.9286, support=91
{12305, 88631} -> {7190, 51657} | confidence=0.9192, support=91
{51657, 88631} -> {7190, 12305} | confidence=0.9286, support=91
{7190} -> {12305, 51657, 92490} | confidence=0.9048, support=95
{7190, 12305} -> {51657, 92490} | confidence=0.9314, support=95
{7190, 51657} -> {12305, 92490} | confidence=0.9406, support=95
{7190, 92490} -> {12305, 51657} | confidence=0.9500, support=95
{12305, 51657} -> {7190, 92490} | confidence=0.9135, support=95
{12305, 92490} -> {7190, 51657} | confidence=0.9135, support=95
{51657, 92490} -> {7190, 12305} | confidence=0.9223, support=95
{7190} -> {12305, 51657, 95398} | confidence=0.9143, support=96
{7190, 12305} -> {51657, 95398} | confidence=0.9412, support=96
{7190, 51657} -> {12305, 95398} | confidence=0.9505, support=96
{7190, 95398} -> {12305, 51657} | confidence=0.9412, support=96
{12305, 51657} -> {7190, 95398} | confidence=0.9231, support=96
{12305, 95398} -> {7190, 51657} | confidence=0.9057, support=96
{51657, 95398} -> {7190, 12305} | confidence=0.9143, support=96
{7190, 88631} -> {12305, 92490} | confidence=0.9286, support=91
{7190, 92490} -> {12305, 88631} | confidence=0.9100, support=91
{12305, 88631} -> {7190, 92490} | confidence=0.9192, support=91
{88631, 92490} -> {7190, 12305} | confidence=0.9381, support=91
{88631} -> {7190, 12305, 95398} | confidence=0.9020, support=92
{7190, 12305} -> {88631, 95398} | confidence=0.9020, support=92
{7190, 88631} -> {12305, 95398} | confidence=0.9388, support=92
{7190, 95398} -> {12305, 88631} | confidence=0.9020, support=92
{12305, 88631} -> {7190, 95398} | confidence=0.9293, support=92
{88631, 95398} -> {7190, 12305} | confidence=0.9293, support=92
{7190} -> {12305, 92490, 95398} | confidence=0.9048, support=95
{7190, 12305} -> {92490, 95398} | confidence=0.9314, support=95
{7190, 92490} -> {12305, 95398} | confidence=0.9500, support=95
{7190, 95398} -> {12305, 92490} | confidence=0.9314, support=95
{12305, 92490} -> {7190, 95398} | confidence=0.9135, support=95
{92490, 95398} -> {7190, 12305} | confidence=0.9223, support=95
{7190, 24746} -> {51657, 88631} | confidence=0.9184, support=90
{7190, 88631} -> {24746, 51657} | confidence=0.9184, support=90
{24746, 88631} -> {7190, 51657} | confidence=0.9278, support=90
{51657, 88631} -> {7190, 24746} | confidence=0.9184, support=90
{7190, 24746} -> {51657, 92490} | confidence=0.9286, support=91
{7190, 51657} -> {24746, 92490} | confidence=0.9010, support=91
{7190, 92490} -> {24746, 51657} | confidence=0.9100, support=91
{24746, 51657} -> {7190, 92490} | confidence=0.9010, support=91
{24746, 92490} -> {7190, 51657} | confidence=0.9192, support=91
{7190, 24746} -> {51657, 95398} | confidence=0.9490, support=93
{7190, 51657} -> {24746, 95398} | confidence=0.9208, support=93
{7190, 95398} -> {24746, 51657} | confidence=0.9118, support=93
{24746, 51657} -> {7190, 95398} | confidence=0.9208, support=93
{24746, 95398} -> {7190, 51657} | confidence=0.9118, support=93
{24746, 88631} -> {7190, 92490} | confidence=0.9072, support=88
{88631, 92490} -> {7190, 24746} | confidence=0.9072, support=88
{7190, 24746} -> {88631, 95398} | confidence=0.9286, support=91
{7190, 88631} -> {24746, 95398} | confidence=0.9286, support=91
{24746, 88631} -> {7190, 95398} | confidence=0.9381, support=91
{88631, 95398} -> {7190, 24746} | confidence=0.9192, support=91
{7190, 24746} -> {92490, 95398} | confidence=0.9286, support=91
{7190, 92490} -> {24746, 95398} | confidence=0.9100, support=91
{24746, 92490} -> {7190, 95398} | confidence=0.9192, support=91
{7190, 88631} -> {51657, 92490} | confidence=0.9184, support=90
{7190, 92490} -> {51657, 88631} | confidence=0.9000, support=90
{51657, 88631} -> {7190, 92490} | confidence=0.9184, support=90
{88631, 92490} -> {7190, 51657} | confidence=0.9278, support=90
{88631} -> {7190, 51657, 95398} | confidence=0.9020, support=92
{7190, 51657} -> {88631, 95398} | confidence=0.9109, support=92
{7190, 88631} -> {51657, 95398} | confidence=0.9388, support=92
{7190, 95398} -> {51657, 88631} | confidence=0.9020, support=92
{51657, 88631} -> {7190, 95398} | confidence=0.9388, support=92
{88631, 95398} -> {7190, 51657} | confidence=0.9293, support=92
{7190} -> {51657, 92490, 95398} | confidence=0.9048, support=95
{7190, 51657} -> {92490, 95398} | confidence=0.9406, support=95
{7190, 92490} -> {51657, 95398} | confidence=0.9500, support=95
{7190, 95398} -> {51657, 92490} | confidence=0.9314, support=95
{51657, 92490} -> {7190, 95398} | confidence=0.9223, support=95
{51657, 95398} -> {7190, 92490} | confidence=0.9048, support=95
{92490, 95398} -> {7190, 51657} | confidence=0.9223, support=95
{7190, 88631} -> {92490, 95398} | confidence=0.9184, support=90
{7190, 92490} -> {88631, 95398} | confidence=0.9000, support=90
{88631, 92490} -> {7190, 95398} | confidence=0.9278, support=90
{88631, 95398} -> {7190, 92490} | confidence=0.9091, support=90
{12305, 24746} -> {51657, 88631} | confidence=0.9010, support=91
{12305, 88631} -> {24746, 51657} | confidence=0.9192, support=91
{24746, 51657} -> {12305, 88631} | confidence=0.9010, support=91
{24746, 88631} -> {12305, 51657} | confidence=0.9381, support=91
{51657, 88631} -> {12305, 24746} | confidence=0.9286, support=91
{24746} -> {12305, 51657, 92490} | confidence=0.9135, support=95
{12305, 24746} -> {51657, 92490} | confidence=0.9406, support=95
{12305, 51657} -> {24746, 92490} | confidence=0.9135, support=95
{12305, 92490} -> {24746, 51657} | confidence=0.9135, support=95
{24746, 51657} -> {12305, 92490} | confidence=0.9406, support=95
{24746, 92490} -> {12305, 51657} | confidence=0.9596, support=95
{51657, 92490} -> {12305, 24746} | confidence=0.9223, support=95
{24746} -> {12305, 51657, 95398} | confidence=0.9231, support=96
{12305, 24746} -> {51657, 95398} | confidence=0.9505, support=96
{12305, 51657} -> {24746, 95398} | confidence=0.9231, support=96
{12305, 95398} -> {24746, 51657} | confidence=0.9057, support=96
{24746, 51657} -> {12305, 95398} | confidence=0.9505, support=96
{24746, 95398} -> {12305, 51657} | confidence=0.9412, support=96
{51657, 95398} -> {12305, 24746} | confidence=0.9143, support=96
{12305, 88631} -> {24746, 92490} | confidence=0.9091, support=90
{24746, 88631} -> {12305, 92490} | confidence=0.9278, support=90
{24746, 92490} -> {12305, 88631} | confidence=0.9091, support=90
{88631, 92490} -> {12305, 24746} | confidence=0.9278, support=90
{88631} -> {12305, 24746, 95398} | confidence=0.9020, support=92
{12305, 24746} -> {88631, 95398} | confidence=0.9109, support=92
{12305, 88631} -> {24746, 95398} | confidence=0.9293, support=92
{24746, 88631} -> {12305, 95398} | confidence=0.9485, support=92
{24746, 95398} -> {12305, 88631} | confidence=0.9020, support=92
{88631, 95398} -> {12305, 24746} | confidence=0.9293, support=92
{24746} -> {12305, 92490, 95398} | confidence=0.9135, support=95
{12305, 24746} -> {92490, 95398} | confidence=0.9406, support=95
{12305, 92490} -> {24746, 95398} | confidence=0.9135, support=95
{24746, 92490} -> {12305, 95398} | confidence=0.9596, support=95
{24746, 95398} -> {12305, 92490} | confidence=0.9314, support=95
{92490, 95398} -> {12305, 24746} | confidence=0.9223, support=95
{88631} -> {12305, 51657, 92490} | confidence=0.9020, support=92
{12305, 88631} -> {51657, 92490} | confidence=0.9293, support=92
{51657, 88631} -> {12305, 92490} | confidence=0.9388, support=92
{88631, 92490} -> {12305, 51657} | confidence=0.9485, support=92
{88631} -> {12305, 51657, 95398} | confidence=0.9118, support=93
{12305, 88631} -> {51657, 95398} | confidence=0.9394, support=93
{51657, 88631} -> {12305, 95398} | confidence=0.9490, support=93
{88631, 95398} -> {12305, 51657} | confidence=0.9394, support=93
{51657} -> {12305, 92490, 95398} | confidence=0.9252, support=99
{92490} -> {12305, 51657, 95398} | confidence=0.9340, support=99
{95398} -> {12305, 51657, 92490} | confidence=0.9083, support=99
{12305, 51657} -> {92490, 95398} | confidence=0.9519, support=99
{12305, 92490} -> {51657, 95398} | confidence=0.9519, support=99
{12305, 95398} -> {51657, 92490} | confidence=0.9340, support=99
{51657, 92490} -> {12305, 95398} | confidence=0.9612, support=99
{51657, 95398} -> {12305, 92490} | confidence=0.9429, support=99
{92490, 95398} -> {12305, 51657} | confidence=0.9612, support=99
{88631} -> {12305, 92490, 95398} | confidence=0.9020, support=92
{12305, 88631} -> {92490, 95398} | confidence=0.9293, support=92
{88631, 92490} -> {12305, 95398} | confidence=0.9485, support=92
{88631, 95398} -> {12305, 92490} | confidence=0.9293, support=92
{24746, 88631} -> {51657, 92490} | confidence=0.9278, support=90
{24746, 92490} -> {51657, 88631} | confidence=0.9091, support=90
{51657, 88631} -> {24746, 92490} | confidence=0.9184, support=90
{88631, 92490} -> {24746, 51657} | confidence=0.9278, support=90
{88631} -> {24746, 51657, 95398} | confidence=0.9020, support=92
{24746, 51657} -> {88631, 95398} | confidence=0.9109, support=92
{24746, 88631} -> {51657, 95398} | confidence=0.9485, support=92
{24746, 95398} -> {51657, 88631} | confidence=0.9020, support=92
{51657, 88631} -> {24746, 95398} | confidence=0.9388, support=92
{88631, 95398} -> {24746, 51657} | confidence=0.9293, support=92
{24746} -> {51657, 92490, 95398} | confidence=0.9135, support=95
{24746, 51657} -> {92490, 95398} | confidence=0.9406, support=95
{24746, 92490} -> {51657, 95398} | confidence=0.9596, support=95
{24746, 95398} -> {51657, 92490} | confidence=0.9314, support=95
{51657, 92490} -> {24746, 95398} | confidence=0.9223, support=95
{51657, 95398} -> {24746, 92490} | confidence=0.9048, support=95
{92490, 95398} -> {24746, 51657} | confidence=0.9223, support=95
{24746, 88631} -> {92490, 95398} | confidence=0.9278, support=90
{24746, 92490} -> {88631, 95398} | confidence=0.9091, support=90
{88631, 92490} -> {24746, 95398} | confidence=0.9278, support=90
{88631, 95398} -> {24746, 92490} | confidence=0.9091, support=90
{88631} -> {51657, 92490, 95398} | confidence=0.9020, support=92
{51657, 88631} -> {92490, 95398} | confidence=0.9388, support=92
{88631, 92490} -> {51657, 95398} | confidence=0.9485, support=92
{88631, 95398} -> {51657, 92490} | confidence=0.9293, support=92
{7190, 24746} -> {12305, 51657, 92490} | confidence=0.9082, support=89
{7190, 24746} -> {12305, 51657, 95398} | confidence=0.9184, support=90
{24746, 88631} -> {7190, 12305, 95398} | confidence=0.9072, support=88
{7190, 24746} -> {12305, 92490, 95398} | confidence=0.9082, support=89
{88631, 92490} -> {7190, 12305, 51657} | confidence=0.9072, support=88
{7190, 88631} -> {12305, 51657, 95398} | confidence=0.9082, support=89
{51657, 88631} -> {7190, 12305, 95398} | confidence=0.9082, support=89
{7190, 12305} -> {51657, 92490, 95398} | confidence=0.9118, support=93
{7190, 51657} -> {12305, 92490, 95398} | confidence=0.9208, support=93
{7190, 92490} -> {12305, 51657, 95398} | confidence=0.9300, support=93
{7190, 95398} -> {12305, 51657, 92490} | confidence=0.9118, support=93
{51657, 92490} -> {7190, 12305, 95398} | confidence=0.9029, support=93
{92490, 95398} -> {7190, 12305, 51657} | confidence=0.9029, support=93
{88631, 92490} -> {7190, 12305, 95398} | confidence=0.9072, support=88
{24746, 88631} -> {7190, 51657, 95398} | confidence=0.9072, support=88
{7190, 24746} -> {51657, 92490, 95398} | confidence=0.9082, support=89
{88631, 92490} -> {7190, 51657, 95398} | confidence=0.9072, support=88
{24746, 88631} -> {12305, 51657, 92490} | confidence=0.9072, support=88
{88631, 92490} -> {12305, 24746, 51657} | confidence=0.9072, support=88
{24746, 88631} -> {12305, 51657, 95398} | confidence=0.9175, support=89
{51657, 88631} -> {12305, 24746, 95398} | confidence=0.9082, support=89
{12305, 24746} -> {51657, 92490, 95398} | confidence=0.9208, support=93
{24746, 51657} -> {12305, 92490, 95398} | confidence=0.9208, support=93
{24746, 92490} -> {12305, 51657, 95398} | confidence=0.9394, support=93
{24746, 95398} -> {12305, 51657, 92490} | confidence=0.9118, support=93
{51657, 92490} -> {12305, 24746, 95398} | confidence=0.9029, support=93
{92490, 95398} -> {12305, 24746, 51657} | confidence=0.9029, support=93
{24746, 88631} -> {12305, 92490, 95398} | confidence=0.9072, support=88
{88631, 92490} -> {12305, 24746, 95398} | confidence=0.9072, support=88
{12305, 88631} -> {51657, 92490, 95398} | confidence=0.9091, support=90
{51657, 88631} -> {12305, 92490, 95398} | confidence=0.9184, support=90
{88631, 92490} -> {12305, 51657, 95398} | confidence=0.9278, support=90
{88631, 95398} -> {12305, 51657, 92490} | confidence=0.9091, support=90
{24746, 88631} -> {51657, 92490, 95398} | confidence=0.9072, support=88
{88631, 92490} -> {24746, 51657, 95398} | confidence=0.9072, support=88
